productName,categoryName,licenseNumber,costPrice
Nerf Blaster,Toys & Games,LIC017,40.00
Purina Dog Food,Pet Supplies,LIC018,40.00
Whisker Litter,Pet Supplies,LIC019,25.00
Kong Chew Toy,Pet Supplies,LIC020,18.00
Bird Cage,Pet Supplies,LIC001,100.00
Tetra Fish Food,Pet Supplies,LIC002,13.00
Petco Dog Bed,Pet Supplies,LIC003,90.00
Fancy Feast Cat Food,Pet Supplies,LIC004,30.00
Hartz Flea Treatment,Pet Supplies,LIC005,25.00
Aquarium Filter,Pet Supplies,LIC006,60.00
Vitamin D3,Health & Wellness,LIC007,13.00
Blood Pressure Monitor,Health & Wellness,LIC008,60.00
Resistance Bands,Health & Wellness,LIC009,30.00
Yoga Mat,Health & Wellness,LIC010,25.00
Whey Protein Powder,Health & Wellness,LIC011,50.00
Foam Roller,Health & Wellness,LIC012,30.00
Massage Gun,Health & Wellness,LIC013,110.00
Essential Oil Diffuser,Health & Wellness,LIC014,45.00
Sleep Mask,Health & Wellness,LIC015,18.00
Apple iPad Air,Electronics,LIC016,650.00
Lenovo ThinkPad X1,Electronics,LIC017,1400.00
Canon EOS Rebel T7,Electronics,LIC018,600.00
Kindle Paperwhite,Electronics,LIC019,150.00
JBL Flip 6 Speaker,Electronics,LIC020,130.00
Nest Thermostat,Electronics,LIC001,300.00
Samsung Odyssey Monitor,Electronics,LIC002,500.00
Roku Streaming Stick 4K,Electronics,LIC003,60.00
GoPro HERO12,Electronics,LIC004,500.00
Echo Dot 5th Gen,Electronics,LIC005,80.00
Garmin Fenix 7,Electronics,LIC006,700.00
Microsoft Surface Pro 9,Electronics,LIC007,1100.00
LG UltraGear Monitor,Electronics,LIC008,400.00
TP-Link WiFi 6 Router,Electronics,LIC009,140.00
Beats Studio Buds,Electronics,LIC010,180.00
Sony Alpha a6400,Electronics,LIC011,1000.00
Kindle Oasis,Electronics,LIC012,280.00
DJI Mini SE Drone,Electronics,LIC013,450.00
Anker Power Bank 20k,Electronics,LIC014,70.00
Tile Mate Tracker,Electronics,LIC015,30.00
Razer DeathAdder V2,Electronics,LIC016,65.00
Instant Pot Pro,Home & Garden,LIC017,150.00
Dyson V11 Vacuum,Home & Garden,LIC018,800.00
KitchenAid Artisan Mixer,Home & Garden,LIC019,500.00
Brita Water Pitcher,Home & Garden,LIC020,50.00
Ring Video Doorbell 4,Home & Garden,LIC001,230.00
Weber Genesis Grill,Home & Garden,LIC002,1100.00
Shark Air Purifier,Home & Garden,LIC003,350.00
Eufy RoboVac 11S,Home & Garden,LIC004,280.00
Cuisinart Coffee Maker,Home & Garden,LIC005,110.00
Dyson Pure Cool Fan,Home & Garden,LIC006,500.00
Philips Wake-up Light,Home & Garden,LIC007,140.00
King Koil Mattress,Home & Garden,LIC008,900.00
Govee Smart Lights,Home & Garden,LIC009,80.00
Simplehuman Trash Can,Home & Garden,LIC010,150.00
Theragun Mini,Health & Wellness,LIC011,220.00
Omron Pedometer,Health & Wellness,LIC012,25.00
Philips Sonicare 9900,Health & Wellness,LIC013,230.00
Peloton Tread,Health & Wellness,LIC014,3300.00
Bowflex Adjustable Dumbbells,Health & Wellness,LIC015,450.00
Nutribullet Blender Pro,Health & Wellness,LIC016,130.00
Gaiam Yoga Ball,Health & Wellness,LIC017,35.00
Thermomix TM6,Home & Garden,LIC018,1600.00
Mi Band 8,Health & Wellness,LIC019,70.00
Hydro Flask Bottle,Sports & Outdoors,LIC020,55.00
On Running Shoes,Clothing,LIC001,180.00
L.L.Bean Duck Boots,Clothing,LIC002,160.00
Fossil Gen 6 Smartwatch,Electronics,LIC003,320.00
Le Creuset Dutch Oven,Home & Garden,LIC004,390.00
Osprey Hiking Backpack,Sports & Outdoors,LIC005,220.00
Patagonia Nano Puff,Clothing,LIC006,240.00
REI Sleeping Bag,Sports & Outdoors,LIC007,170.00
Black Diamond Headlamp,Sports & Outdoors,LIC008,60.00
CamelBak Eddy+,Sports & Outdoors,LIC009,30.00
Arc'teryx Beanie,Clothing,LIC010,50.00
North Face Rain Jacket,Clothing,LIC011,130.00
Brooks Ghost 15,Clothing,LIC012,160.00
Under Armour Cap,Clothing,LIC013,40.00
Champion Joggers,Clothing,LIC014,60.00
Timex Expedition Watch,Accessories,LIC015,80.00
Ray-Ban Clubmaster,Accessories,LIC016,180.00
Fjallraven Kanken,Accessories,LIC017,100.00
Herschel Wallet,Accessories,LIC018,40.00
Samsonite Luggage Set,Home & Garden,LIC019,350.00
Apple MagSafe Charger,Electronics,LIC020,50.00
Belkin Surge Protector,Electronics,LIC001,30.00
WD External Drive,Electronics,LIC002,150.00
Logitech C920 Webcam,Electronics,LIC003,100.00
Xbox Series S,Toys & Games,LIC004,350.00
PlayStation 5 Digital,Toys & Games,LIC005,550.00
Meta Quest 3,Toys & Games,LIC006,600.00
Acer Chromebook Spin,Electronics,LIC007,300.00
HP DeskJet 4155e,Electronics,LIC008,130.00
Vornado Fan,Home & Garden,LIC009,65.00
Braun Beard Trimmer,Beauty & Personal Care,LIC010,50.00
Dove Body Wash,Beauty & Personal Care,LIC011,16.00
Aveeno Daily Lotion,Beauty & Personal Care,LIC012,17.00
Oral-B Pro 1000,Beauty & Personal Care,LIC013,60.00
Colgate Max Fresh,Beauty & Personal Care,LIC014,8.00
SheaMoisture Shampoo,Beauty & Personal Care,LIC015,18.00
Burts Bees Lip Balm,Beauty & Personal Care,LIC016,5.00
Vicks Vaporub,Health & Wellness,LIC017,14.00
Advil Liqui-Gels,Health & Wellness,LIC018,13.00
Nature Made Vitamin C,Health & Wellness,LIC019,11.00
Purell Hand Sanitizer,Health & Wellness,LIC020,4.00
Salomon Trail Shoes,Clothing,LIC001,150.00
Klean Kanteen Tumbler,Home & Garden,LIC002,35.00
Thermos Kids Funtainer,Home & Garden,LIC003,25.00
Crockpot Slow Cooker,Home & Garden,LIC004,60.00
