transactionId,productName,categoryName,qty,price,serialNumbers
TXN00038,Fancy Feast Cat Food,Pet Supplies,2,49.98,SN000840;SN000839
TXN00039,Hydro Flask Bottle,Sports & Outdoors,3,134.97,SN001400;SN001399;SN001398
TXN00040,Mobil 1 Oil,Automotive,3,119.97,SN000610;SN000609;SN000608
TXN00040,Herschel Wallet,Accessories,1,29.99,SN001580
TXN00041,North Face Rain Jacket,Clothing,1,99.99,SN001510
TXN00042,Eufy RoboVac 11S,Home & Garden,3,689.97,SN001240;SN001239;SN001238
TXN00042,L.L.Bean Duck Boots,Clothing,3,419.97,SN001419;SN001418;SN001417
TXN00043,Educated,Books,1,15.99,SN000380
TXN00044,The Alchemist,Books,3,41.97,SN000360;SN000359;SN000358
TXN00044,Oral-B Pro 1000,Beauty & Personal Care,2,99.98,SN001730;SN001729
TXN00044,GoPro HERO12,Electronics,2,899.98,SN001040;SN001039
TXN00045,Becoming,Books,2,39.98,SN000400;SN000399
TXN00046,Crockpot Slow Cooker,Home & Garden,1,49.99,SN001840
TXN00046,Vornado Fan,Home & Garden,2,99.98,SN001690;SN001689
TXN00047,Michelin Tires,Automotive,1,149.99,SN000600
TXN00047,On Running Shoes,Clothing,1,159.99,SN001409
TXN00047,Gap Hoodie,Clothing,1,39.99,SN000187
TXN00048,STP Oil Filter,Automotive,1,12.99,SN000677
TXN00048,Meguiar's Car Wax,Automotive,3,59.97,SN000650;SN000649;SN000648
TXN00049,Under Armour Running Shorts,Sports & Outdoors,3,89.97,SN000478;SN000477;SN000476
TXN00050,Foam Roller,Health & Wellness,2,49.98,SN000917;SN000916
TXN00050,Atomic Habits,Books,3,50.97,SN000350;SN000349;SN000348
TXN00051,Vitamin D3,Health & Wellness,3,29.97,SN000870;SN000869;SN000868
TXN00051,Salomon Trail Shoes,Clothing,3,389.97,SN001810;SN001809;SN001808
TXN00052,Educated,Books,2,31.98,SN000379;SN000378
TXN00052,Kong Chew Toy,Pet Supplies,3,44.97,SN000800;SN000799;SN000798
TXN00053,Yoga Mat,Health & Wellness,1,19.99,SN000900
TXN00053,Home Depot Tool Set,Home & Garden,2,159.98,SN000308;SN000307
TXN00053,Sony Alpha a6400,Electronics,3,2699.97,SN001110;SN001109;SN001108
TXN00054,The Alchemist,Books,2,27.98,SN000357;SN000356
TXN00054,Harry Potter Box Set,Books,2,179.98,SN000340;SN000339
TXN00055,L.L.Bean Duck Boots,Clothing,2,279.98,SN001416;SN001415
TXN00056,REI Camping Tent,Sports & Outdoors,1,249.99,SN000460
TXN00056,Nintendo Switch,Toys & Games,3,899.97,SN000700;SN000699;SN000698
TXN00057,Microsoft Surface Pro 9,Electronics,3,2999.97,SN001068;SN001067;SN001066
TXN00057,Home Depot Tool Set,Home & Garden,2,159.98,SN000306;SN000305
TXN00058,Weber Genesis Grill,Home & Garden,3,2849.97,SN001216;SN001215;SN001214
TXN00059,Maybelline Mascara,Beauty & Personal Care,2,19.98,SN000510;SN000509
TXN00060,Thermomix TM6,Home & Garden,3,4499.97,SN001380;SN001379;SN001378
TXN00060,LG UltraGear Monitor,Electronics,3,1049.97,SN001080;SN001079;SN001078
TXN00061,CamelBak Eddy+,Sports & Outdoors,2,49.98,SN001490;SN001489
TXN00062,Car Vacuum,Automotive,1,29.99,SN000619
TXN00063,Shark Air Purifier,Home & Garden,1,299.99,SN001229
TXN00063,Herschel Wallet,Accessories,1,29.99,SN001579
TXN00064,MAC Lipstick,Beauty & Personal Care,1,24.99,SN000558
TXN00065,Wilson Basketball,Sports & Outdoors,3,89.97,SN000420;SN000419;SN000418
TXN00065,Ray-Ban Clubmaster,Accessories,1,149.99,SN001560
TXN00066,Peloton Bike,Sports & Outdoors,1,2495.99,SN000470
TXN00066,Patagonia Jacket,Sports & Outdoors,3,599.97,SN000439;SN000438;SN000437
TXN00067,Dyson Pure Cool Fan,Home & Garden,2,799.98,SN001260;SN001259
TXN00068,The Ordinary Hyaluronic Acid,Beauty & Personal Care,3,20.97,SN000520;SN000519;SN000518
TXN00069,REI Sleeping Bag,Sports & Outdoors,2,299.98,SN001467;SN001466
TXN00069,Peloton Bike,Sports & Outdoors,1,2495.99,SN000469
TXN00070,Belkin Surge Protector,Electronics,3,74.97,SN001609;SN001608;SN001607
TXN00070,LG UltraGear Monitor,Electronics,2,699.98,SN001077;SN001076
TXN00071,Kong Chew Toy,Pet Supplies,1,14.99,SN000797
TXN00071,Weber Genesis Grill,Home & Garden,2,1899.98,SN001213;SN001212
TXN00071,Dell XPS 13,Electronics,2,1799.98,SN000060;SN000059
TXN00072,Bowflex Adjustable Dumbbells,Health & Wellness,2,799.98,SN001348;SN001347
TXN00072,Dyson Pure Cool Fan,Home & Garden,3,1199.97,SN001258;SN001257;SN001256
TXN00073,IKEA KIVIK Sofa,Home & Garden,1,499.99,SN000227
TXN00073,Philips Air Fryer,Home & Garden,1,99.99,SN000250
TXN00073,The Ordinary Hyaluronic Acid,Beauty & Personal Care,2,13.98,SN000517;SN000516
TXN00074,Echo Dot 5th Gen,Electronics,2,119.98,SN001050;SN001049
TXN00074,Apple iPad Air,Electronics,3,1799.97,SN000960;SN000959;SN000958
TXN00075,Purell Hand Sanitizer,Health & Wellness,3,8.97,SN001798;SN001797;SN001796
TXN00076,Columbia Hiking Boots,Sports & Outdoors,1,149.99,SN000490
TXN00077,Atomic Habits,Books,2,33.98,SN000347;SN000346
TXN00077,Apple MagSafe Charger,Electronics,1,39.99,SN001600
TXN00078,MAC Lipstick,Beauty & Personal Care,2,49.98,SN000557;SN000556
TXN00078,Peloton Bike,Sports & Outdoors,3,7487.97,SN000468;SN000467;SN000466
TXN00078,iPhone 15 Pro,Electronics,1,999.99,SN000018
TXN00079,LEGO Creator Set,Toys & Games,3,149.97,SN000690;SN000689;SN000688
TXN00079,Home Depot Tool Set,Home & Garden,1,79.99,SN000304
TXN00079,DJI Mini SE Drone,Electronics,1,399.99,SN001130
TXN00080,Nature Made Vitamin C,Health & Wellness,2,17.98,SN001788;SN001787
TXN00081,Weber Genesis Grill,Home & Garden,1,949.99,SN001211
TXN00081,Whisker Litter,Pet Supplies,3,59.97,SN000789;SN000788;SN000787
TXN00081,Aquarium Filter,Pet Supplies,3,149.97,SN000860;SN000859;SN000858
TXN00082,Sony WH-1000XM5,Electronics,1,299.99,SN000067
TXN00082,Play-Doh Set,Toys & Games,1,14.99,SN000760
TXN00083,Bose QuietComfort,Electronics,2,559.98,SN000109;SN000108
TXN00083,Rain-X Windshield Treatment,Automotive,1,14.99,SN000668
TXN00083,Simplehuman Trash Can,Home & Garden,2,259.98,SN001299;SN001298
TXN00084,Car Vacuum,Automotive,1,29.99,SN000618
TXN00085,L'Oreal Hair Color,Beauty & Personal Care,2,25.98,SN000580;SN000579
TXN00085,King Koil Mattress,Home & Garden,1,799.99,SN001278
TXN00085,Garmin Fenix 7,Electronics,3,1799.97,SN001057;SN001056;SN001055
TXN00086,Samsung Galaxy S24,Electronics,1,799.99,SN000039
TXN00086,Calvin Klein Underwear Set,Clothing,1,29.99,SN000208
TXN00087,Massage Gun,Health & Wellness,2,179.98,SN000930;SN000929
TXN00087,Instant Pot Pro,Home & Garden,3,389.97,SN001166;SN001165;SN001164
TXN00088,Purina Dog Food,Pet Supplies,1,29.99,SN000780
TXN00088,Rain-X Windshield Treatment,Automotive,2,29.98,SN000667;SN000666
TXN00089,Logitech MX Master 3,Electronics,3,299.97,SN000120;SN000119;SN000118
TXN00089,Nike Air Max 270,Clothing,1,129.99,SN000130
TXN00090,Google Pixel 8,Electronics,2,1399.98,SN000080;SN000079
TXN00090,Canon EOS Rebel T7,Electronics,1,499.99,SN000979
TXN00090,Vitamin D3,Health & Wellness,1,9.99,SN000867
TXN00091,The Great Gatsby,Books,1,12.99,SN000317
TXN00093,Petco Dog Bed,Pet Supplies,3,209.97,SN000830;SN000829;SN000828
TXN00093,Nutribullet Blender Pro,Health & Wellness,2,239.98,SN001360;SN001359
TXN00094,Bosch Drill Set,Home & Garden,3,449.97,SN000257;SN000256;SN000255
TXN00094,Fitbit Charge 5,Sports & Outdoors,3,449.97,SN000449;SN000448;SN000447
TXN00094,Bird Cage,Pet Supplies,3,239.97,SN000810;SN000809;SN000808
TXN00095,Bose QuietComfort,Electronics,1,279.99,SN000107
TXN00095,Meguiar's Car Wax,Automotive,1,19.99,SN000647
TXN00095,Burts Bees Lip Balm,Beauty & Personal Care,1,3.99,SN001760
TXN00096,Le Creuset Dutch Oven,Home & Garden,2,659.98,SN001440;SN001439
TXN00097,Whey Protein Powder,Health & Wellness,2,79.98,SN000909;SN000908
TXN00097,Yoga Mat,Health & Wellness,1,19.99,SN000899
TXN00098,LG UltraGear Monitor,Electronics,1,349.99,SN001075
TXN00098,Nest Thermostat,Electronics,3,749.97,SN001010;SN001009;SN001008
TXN00098,Maybelline Mascara,Beauty & Personal Care,2,19.98,SN000508;SN000507
TXN00099,L.L.Bean Duck Boots,Clothing,2,279.98,SN001414;SN001413
TXN00100,LED Headlights,Automotive,2,159.98,SN000630;SN000629
TXN00100,Roku Streaming Stick 4K,Electronics,3,149.97,SN001030;SN001029;SN001028
TXN00101,KitchenAid Artisan Mixer,Home & Garden,1,429.99,SN001190
TXN00102,The Alchemist,Books,3,41.97,SN000355;SN000354;SN000353
TXN00102,LG UltraGear Monitor,Electronics,1,349.99,SN001074
TXN00103,Bose QuietComfort,Electronics,2,559.98,SN000106;SN000105
TXN00104,LG UltraGear Monitor,Electronics,2,699.98,SN001073;SN001072
TXN00105,Samsung Odyssey Monitor,Electronics,2,799.98,SN001020;SN001019
TXN00106,Gaiam Yoga Ball,Health & Wellness,1,29.99,SN001370
TXN00106,Fitbit Charge 5,Sports & Outdoors,3,449.97,SN000446;SN000445;SN000444
TXN00106,Philips Air Fryer,Home & Garden,1,99.99,SN000249
TXN00107,ASUS ROG Laptop,Electronics,2,2999.98,SN000090;SN000089
TXN00107,Home Depot Tool Set,Home & Garden,2,159.98,SN000303;SN000302
TXN00107,Echo Dot 5th Gen,Electronics,1,59.99,SN001048
TXN00108,Atomic Habits,Books,3,50.97,SN000345;SN000344;SN000343
TXN00109,Adidas Ultraboost 23,Clothing,1,179.99,SN000138
TXN00109,Foam Roller,Health & Wellness,1,24.99,SN000915
TXN00110,Hartz Flea Treatment,Pet Supplies,1,19.99,SN000850
TXN00110,CamelBak Eddy+,Sports & Outdoors,1,24.99,SN001488
TXN00110,Simplehuman Trash Can,Home & Garden,2,259.98,SN001297;SN001296
TXN00111,Razer DeathAdder V2,Electronics,1,49.99,SN001158
TXN00111,The Alchemist,Books,1,13.99,SN000352
TXN00112,Casper Mattress,Home & Garden,3,2699.97,SN000279;SN000278;SN000277
TXN00113,Purell Hand Sanitizer,Health & Wellness,2,5.98,SN001795;SN001794
TXN00113,Atomic Habits,Books,2,33.98,SN000342;SN000341
TXN00113,The Alchemist,Books,1,13.99,SN000351
TXN00114,Foam Roller,Health & Wellness,1,24.99,SN000914
TXN00115,Klean Kanteen Tumbler,Home & Garden,1,29.99,SN001820
TXN00116,The Midnight Library,Books,3,50.97,SN000408;SN000407;SN000406
TXN00116,Sapiens,Books,3,56.97,SN000370;SN000369;SN000368
TXN00116,Klean Kanteen Tumbler,Home & Garden,3,89.97,SN001819;SN001818;SN001817
TXN00117,STP Oil Filter,Automotive,3,38.97,SN000676;SN000675;SN000674
TXN00118,Fossil Gen 6 Smartwatch,Electronics,3,899.97,SN001430;SN001429;SN001428
TXN00118,King Koil Mattress,Home & Garden,3,2399.97,SN001277;SN001276;SN001275
TXN00119,Timex Expedition Watch,Accessories,3,179.97,SN001550;SN001549;SN001548
TXN00119,LED Headlights,Automotive,2,159.98,SN000628;SN000627
TXN00119,Gaiam Yoga Ball,Health & Wellness,1,29.99,SN001369
TXN00120,L'Oreal Hair Color,Beauty & Personal Care,1,12.99,SN000578
TXN00120,Educated,Books,1,15.99,SN000377
TXN00121,Arc'teryx Beanie,Clothing,3,119.97,SN001500;SN001499;SN001498
TXN00121,Aveeno Daily Lotion,Beauty & Personal Care,3,41.97,SN001720;SN001719;SN001718
TXN00121,Adidas Ultraboost 23,Clothing,3,539.97,SN000137;SN000136;SN000135
TXN00122,Hydro Flask Bottle,Sports & Outdoors,2,89.98,SN001397;SN001396
TXN00122,Home Depot Tool Set,Home & Garden,1,79.99,SN000301
TXN00123,Yeti Cooler,Sports & Outdoors,1,299.99,SN000430
TXN00123,Harry Potter Box Set,Books,1,89.99,SN000338
TXN00123,Beats Studio Buds,Electronics,1,149.99,SN001097
TXN00124,Rain-X Windshield Treatment,Automotive,2,29.98,SN000665;SN000664
TXN00125,King Koil Mattress,Home & Garden,2,1599.98,SN001274;SN001273
TXN00125,Educated,Books,1,15.99,SN000376
TXN00125,Samsonite Luggage Set,Home & Garden,3,899.97,SN001587;SN001586;SN001585
TXN00126,Philips Sonicare 9900,Health & Wellness,2,379.98,SN001329;SN001328
TXN00126,Nintendo Switch,Toys & Games,3,899.97,SN000697;SN000696;SN000695
TXN00127,Maybelline Mascara,Beauty & Personal Care,3,29.97,SN000506;SN000505;SN000504
TXN00127,The Midnight Library,Books,2,33.98,SN000405;SN000404
TXN00127,Sapiens,Books,3,56.97,SN000367;SN000366;SN000365
TXN00128,Eufy RoboVac 11S,Home & Garden,1,229.99,SN001237
TXN00128,Fancy Feast Cat Food,Pet Supplies,3,74.97,SN000838;SN000837;SN000836
TXN00128,Under Armour Running Shorts,Sports & Outdoors,3,89.97,SN000475;SN000474;SN000473
TXN00129,Mattel Uno Cards,Toys & Games,2,19.98,SN000750;SN000749
TXN00130,Fitbit Charge 5,Sports & Outdoors,3,449.97,SN000443;SN000442;SN000441
TXN00130,Omron Pedometer,Health & Wellness,3,59.97,SN001317;SN001316;SN001315
TXN00131,Le Creuset Dutch Oven,Home & Garden,2,659.98,SN001438;SN001437
TXN00132,Samsonite Luggage Set,Home & Garden,1,299.99,SN001584
TXN00133,Garmin Fenix 7,Electronics,3,1799.97,SN001054;SN001053;SN001052
TXN00134,KitchenAid Artisan Mixer,Home & Garden,2,859.98,SN001189;SN001188
TXN00134,Fossil Gen 6 Smartwatch,Electronics,1,299.99,SN001427
TXN00134,Nerf Blaster,Toys & Games,3,89.97,SN000767;SN000766;SN000765
TXN00135,Purina Dog Food,Pet Supplies,1,29.99,SN000779
TXN00136,Hasbro Monopoly,Toys & Games,2,49.98,SN000740;SN000739
TXN00136,Vornado Fan,Home & Garden,2,99.98,SN001688;SN001687
TXN00137,Nutribullet Blender Pro,Health & Wellness,3,359.97,SN001358;SN001357;SN001356
TXN00137,Mi Band 8,Health & Wellness,3,179.97,SN001390;SN001389;SN001388
TXN00138,L'Oreal Hair Color,Beauty & Personal Care,2,25.98,SN000577;SN000576
TXN00139,Philips Air Fryer,Home & Garden,3,299.97,SN000248;SN000247;SN000246
TXN00139,Eureka Vacuum,Home & Garden,3,599.97,SN000288;SN000287;SN000286
TXN00140,Foam Roller,Health & Wellness,2,49.98,SN000913;SN000912
TXN00141,Peloton Bike,Sports & Outdoors,3,7487.97,SN000465;SN000464;SN000463
TXN00141,STP Oil Filter,Automotive,3,38.97,SN000673;SN000672;SN000671
TXN00141,Salomon Trail Shoes,Clothing,1,129.99,SN001807
TXN00142,Dell XPS 13,Electronics,1,899.99,SN000058
TXN00142,Vitamin D3,Health & Wellness,3,29.97,SN000866;SN000865;SN000864
TXN00143,Fjallraven Kanken,Accessories,1,89.99,SN001567
TXN00144,Maybelline Mascara,Beauty & Personal Care,2,19.98,SN000503;SN000502
TXN00144,GoPro HERO12,Electronics,1,449.99,SN001038
TXN00144,Omron Pedometer,Health & Wellness,1,19.99,SN001314
TXN00145,Uniqlo Merino Wool Sweater,Clothing,2,159.98,SN000180;SN000179
TXN00146,Philips Air Fryer,Home & Garden,1,99.99,SN000245
TXN00146,The Great Gatsby,Books,1,12.99,SN000316
TXN00147,WD External Drive,Electronics,2,259.98,SN001620;SN001619
TXN00148,Nerf Blaster,Toys & Games,2,59.98,SN000764;SN000763
TXN00148,Ring Video Doorbell 4,Home & Garden,3,599.97,SN001207;SN001206;SN001205
TXN00148,Aquarium Filter,Pet Supplies,1,49.99,SN000857
TXN00149,Brita Water Pitcher,Home & Garden,2,79.98,SN001199;SN001198
TXN00150,Under Armour Cap,Clothing,3,89.97,SN001530;SN001529;SN001528
TXN00151,Omron Pedometer,Health & Wellness,3,59.97,SN001313;SN001312;SN001311
TXN00152,Ring Video Doorbell 4,Home & Garden,1,199.99,SN001204
TXN00152,Belkin Surge Protector,Electronics,1,24.99,SN001606
TXN00152,LG UltraGear Monitor,Electronics,1,349.99,SN001071
TXN00153,HP DeskJet 4155e,Electronics,1,99.99,SN001680
TXN00153,Acer Chromebook Spin,Electronics,3,749.97,SN001667;SN001666;SN001665
TXN00153,Sony Alpha a6400,Electronics,1,899.99,SN001107
TXN00154,Fjallraven Kanken,Accessories,3,269.97,SN001566;SN001565;SN001564
TXN00155,West Elm Dining Table,Home & Garden,1,799.99,SN000240
TXN00156,PlayStation 5 Digital,Toys & Games,3,1499.97,SN001650;SN001649;SN001648
TXN00156,Levi's 501 Jeans,Clothing,1,69.99,SN000148
TXN00157,The Midnight Library,Books,1,16.99,SN000403
TXN00157,Mobil 1 Oil,Automotive,3,119.97,SN000607;SN000606;SN000605
TXN00158,TP-Link WiFi 6 Router,Electronics,3,359.97,SN001089;SN001088;SN001087
TXN00158,Xbox Series S,Toys & Games,1,299.99,SN001640
TXN00159,Roku Streaming Stick 4K,Electronics,1,49.99,SN001027
TXN00160,JBL Flip 6 Speaker,Electronics,2,199.98,SN000997;SN000996
TXN00160,Acer Chromebook Spin,Electronics,3,749.97,SN001664;SN001663;SN001662
TXN00161,WD External Drive,Electronics,2,259.98,SN001618;SN001617
TXN00162,Play-Doh Set,Toys & Games,2,29.98,SN000759;SN000758
TXN00162,Gaiam Yoga Ball,Health & Wellness,3,89.97,SN001368;SN001367;SN001366
TXN00163,Beats Studio Buds,Electronics,2,299.98,SN001096;SN001095
TXN00164,DJI Mini SE Drone,Electronics,3,1199.97,SN001129;SN001128;SN001127
TXN00164,Nature Made Vitamin C,Health & Wellness,1,8.99,SN001786
TXN00164,REI Camping Tent,Sports & Outdoors,3,749.97,SN000459;SN000458;SN000457
TXN00165,Klean Kanteen Tumbler,Home & Garden,1,29.99,SN001816
TXN00166,Purina Dog Food,Pet Supplies,3,89.97,SN000778;SN000777;SN000776
TXN00166,Herschel Wallet,Accessories,1,29.99,SN001578
TXN00167,Bowflex Adjustable Dumbbells,Health & Wellness,1,399.99,SN001346
TXN00168,Oribe Shampoo,Beauty & Personal Care,2,99.98,SN000539;SN000538
TXN00168,Mobil 1 Oil,Automotive,3,119.97,SN000604;SN000603;SN000602
TXN00169,Anker Power Bank 20k,Electronics,3,149.97,SN001140;SN001139;SN001138
TXN00170,GoPro HERO12,Electronics,1,449.99,SN001037
TXN00170,ASUS ROG Laptop,Electronics,1,1499.99,SN000088
TXN00171,Hydro Flask Bottle,Sports & Outdoors,2,89.98,SN001395;SN001394
TXN00172,Sun Joe Lawn Mower,Home & Garden,3,899.97,SN000300;SN000299;SN000298
TXN00172,Xbox Series S,Toys & Games,3,899.97,SN001639;SN001638;SN001637
TXN00173,Xbox Series S,Toys & Games,2,599.98,SN001636;SN001635
TXN00173,AutoZone Battery,Automotive,3,389.97,SN000640;SN000639;SN000638
TXN00174,DJI Mini SE Drone,Electronics,2,799.98,SN001126;SN001125
TXN00175,Burts Bees Lip Balm,Beauty & Personal Care,2,7.98,SN001759;SN001758
TXN00176,Black Diamond Headlamp,Sports & Outdoors,2,99.98,SN001480;SN001479
TXN00177,Dyson V11 Vacuum,Home & Garden,1,699.99,SN001179
TXN00177,Colgate Max Fresh,Beauty & Personal Care,2,11.98,SN001740;SN001739
TXN00178,GoPro HERO12,Electronics,1,449.99,SN001036
TXN00178,West Elm Dining Table,Home & Garden,2,1599.98,SN000239;SN000238
TXN00180,Razer DeathAdder V2,Electronics,2,99.98,SN001157;SN001156
TXN00180,Adidas Ultraboost 23,Clothing,2,359.98,SN000134;SN000133
TXN00180,REI Camping Tent,Sports & Outdoors,3,749.97,SN000456;SN000455;SN000454
TXN00181,The Great Gatsby,Books,2,25.98,SN000315;SN000314
TXN00181,Kong Chew Toy,Pet Supplies,1,14.99,SN000796
TXN00181,Logitech C920 Webcam,Electronics,2,159.98,SN001627;SN001626
TXN00182,Mattel Uno Cards,Toys & Games,1,9.99,SN000748
TXN00182,West Elm Dining Table,Home & Garden,2,1599.98,SN000237;SN000236
TXN00183,Beats Studio Buds,Electronics,1,149.99,SN001094
TXN00183,Dove Body Wash,Beauty & Personal Care,3,38.97,SN001706;SN001705;SN001704
TXN00183,Blood Pressure Monitor,Health & Wellness,3,149.97,SN000880;SN000879;SN000878
TXN00184,Beats Studio Buds,Electronics,2,299.98,SN001093;SN001092
TXN00184,Kindle Paperwhite,Electronics,3,389.97,SN000990;SN000989;SN000988
TXN00184,Eufy RoboVac 11S,Home & Garden,3,689.97,SN001236;SN001235;SN001234
TXN00185,Blood Pressure Monitor,Health & Wellness,2,99.98,SN000877;SN000876
TXN00185,The Great Gatsby,Books,3,38.97,SN000313;SN000312;SN000311
TXN00186,Herschel Wallet,Accessories,1,29.99,SN001577
TXN00187,Sony WH-1000XM5,Electronics,2,599.98,SN000066;SN000065
TXN00187,Bowflex Adjustable Dumbbells,Health & Wellness,2,799.98,SN001345;SN001344
TXN00188,Belkin Surge Protector,Electronics,3,74.97,SN001605;SN001604;SN001603
TXN00188,Canon EOS Rebel T7,Electronics,2,999.98,SN000978;SN000977
TXN00189,Sapiens,Books,3,56.97,SN000364;SN000363;SN000362
TXN00189,Revlon Nail Polish,Beauty & Personal Care,2,11.98,SN000590;SN000589
TXN00189,Klean Kanteen Tumbler,Home & Garden,2,59.98,SN001815;SN001814
TXN00190,Hot Wheels Track,Toys & Games,1,19.99,SN000710
TXN00190,The Ordinary Hyaluronic Acid,Beauty & Personal Care,2,13.98,SN000515;SN000514
